AlfaNumerico,AlfaNumerico,Fecha,Hora,AlfaNumerico,AlfaNumerico,Correo Electrónico,Telefóno,Telefóno,Telefóno,AlfaNumerico,Estatus
Clave,Folio,Fecha,Hora,Clave Partido Legado,Clave Ciudadano,Correo Electrónico,Whatsapp,Teléfono,Celular,Observaciones,Estatus
MP00003077,MP00003077,2023-02-21,00:20:44,PL007,SIC0068749,x@x.com,9999123456,9999123451,9999123452,,1
MP00003078,MP00003078,2023-02-21,00:20:44,PL007,SIC0017868,x@x.com,9999123456,9999123451,9999123452,,1
MP00003079,MP00003079,2023-02-21,00:20:44,PL007,SIC0099022,x@x.com,9999123456,9999123451,9999123452,,1
MP00003080,MP00003080,2023-02-21,00:20:44,PL007,SIC0081215,x@x.com,9999123456,9999123451,9999123452,,1
MP00003081,MP00003081,2023-02-21,00:20:44,PL007,SIC0088867,x@x.com,9999123456,9999123451,9999123452,NOTIENE,1
MP00003082,MP00003082,2023-02-21,00:20:44,PL007,SIC0069606,x@x.com,9999123456,9999123451,9999123452,,1
MP00003083,MP00003083,2014-11-14,00:20:44,PL007,SIC0022217,x@x.com,9999123456,9999123451,9999123452,SITIENE,1
MP00003084,MP00003084,2023-02-21,00:20:44,PL007,SIC0028901,x@x.com,9999123456,9999123451,9999123452,,1
MP00003085,MP00003085,2023-02-21,00:20:44,PL007,SIC0094620,x@x.com,9999123456,9999123451,9999123452,,1
MP00003086,MP00003086,2023-02-21,00:20:44,PL007,SIC0010459,x@x.com,9999123456,9999123451,9999123452,,1
MP00003087,MP00003087,2023-02-21,00:20:44,PL007,SIC0046347,x@x.com,9999123456,9999123451,9999123452,,1
MP00003088,MP00003088,2023-02-21,00:20:44,PL007,SIC0042074,x@x.com,9999123456,9999123451,9999123452,,1
MP00003090,MP00003090,2016-09-03,00:20:44,PL007,SIC0000812,x@x.com,9999123456,9999123451,9999123452,,1
MP00003091,MP00003091,2023-02-21,00:20:44,PL007,SIC0017263,x@x.com,9999123456,9999123451,9999123452,,1
MP00003092,MP00003092,2023-02-21,00:20:44,PL007,SIC0093189,x@x.com,9999123456,9999123451,9999123452,,1
MP00003093,MP00003093,2023-02-21,00:20:44,PL007,SIC0094116,x@x.com,9999123456,9999123451,9999123452,,1
MP00003094,MP00003094,2023-02-21,00:20:44,PL007,SIC0036919,x@x.com,9999123456,9999123451,9999123452,,1
MP00003095,MP00003095,2019-12-10,00:20:44,PL007,SIC0004985,x@x.com,9999123456,9999123451,9999123452,,1
MP00003096,MP00003096,2023-02-21,00:20:44,PL007,SIC0091403,x@x.com,9999123456,9999123451,9999123452,,1
MP00003097,MP00003097,2023-02-21,00:20:44,PL007,SIC0041067,x@x.com,9999123456,9999123451,9999123452,,1
MP00003098,MP00003098,2023-02-21,00:20:44,PL007,SIC0114341,x@x.com,9999123456,9999123451,9999123452,NOTIENE,1
MP00003099,MP00003099,2023-02-21,00:20:44,PL007,SIC0000340,x@x.com,9999123456,9999123451,9999123452,,1
MP00003100,MP00003100,2023-02-21,00:20:44,PL007,SIC0097067,x@x.com,9999123456,9999123451,9999123452,,1
MP00003101,MP00003101,2023-02-21,00:20:44,PL007,SIC0020783,x@x.com,9999123456,9999123451,9999123452,NOTIENE,1
MP00003102,MP00003102,2023-02-21,00:20:44,PL007,SIC0078114,x@x.com,9999123456,9999123451,9999123452,,1
MP00003104,MP00003104,2014-10-14,00:20:44,PL007,SIC0106236,x@x.com,9999123456,9999123451,9999123452,,1
MP00003105,MP00003105,2023-02-21,00:20:44,PL007,SIC0100493,x@x.com,9999123456,9999123451,9999123452,,1
MP00003106,MP00003106,2023-02-21,00:20:44,PL007,SIC0040475,x@x.com,9999123456,9999123451,9999123452,,1
MP00003107,MP00003107,2023-02-21,00:20:44,PL007,SIC0067446,x@x.com,9999123456,9999123451,9999123452,,1
MP00003108,MP00003108,2023-02-21,00:20:44,PL007,SIC0038133,x@x.com,9999123456,9999123451,9999123452,,1
MP00003109,MP00003109,2023-02-21,00:20:44,PL007,SIC0014720,x@x.com,9999123456,9999123451,9999123452,,1
MP00003110,MP00003110,2023-02-21,00:20:44,PL007,SIC0026519,x@x.com,9999123456,9999123451,9999123452,,1
MP00003111,MP00003111,2023-02-21,00:20:44,PL007,SIC0059581,x@x.com,9999123456,9999123451,9999123452,,1
MP00003112,MP00003112,2023-02-21,00:20:44,PL007,SIC0002733,x@x.com,9999123456,9999123451,9999123452,,1
MP00003113,MP00003113,2023-02-21,00:20:44,PL007,SIC0018335,x@x.com,9999123456,9999123451,9999123452,,1
MP00003114,MP00003114,2023-02-21,00:20:44,PL007,SIC0087188,x@x.com,9999123456,9999123451,9999123452,,1
MP00003115,MP00003115,2023-02-21,00:20:44,PL007,SIC0001130,x@x.com,9999123456,9999123451,9999123452,,1
MP00003116,MP00003116,2023-02-21,00:20:44,PL007,SIC0040983,x@x.com,9999123456,9999123451,9999123452,,1
MP00003117,MP00003117,2023-02-21,00:20:44,PL007,SIC0023293,x@x.com,9999123456,9999123451,9999123452,NOTIENE,1
MP00003118,MP00003118,2023-02-21,00:20:44,PL007,SIC0014259,x@x.com,9999123456,9999123451,9999123452,,1
MP00003119,MP00003119,2023-02-21,00:20:44,PL007,SIC0091346,x@x.com,9999123456,9999123451,9999123452,,1
MP00003120,MP00003120,2023-02-21,00:20:44,PL007,SIC0004484,x@x.com,9999123456,9999123451,9999123452,NOTIENE,1
MP00003121,MP00003121,2023-02-21,00:20:44,PL007,SIC0116107,x@x.com,9999123456,9999123451,9999123452,,1
MP00003122,MP00003122,2019-03-09,00:20:44,PL007,SIC0017300,x@x.com,9999123456,9999123451,9999123452,,1
MP00003123,MP00003123,2023-02-21,00:20:44,PL007,SIC0007673,x@x.com,9999123456,9999123451,9999123452,,1
MP00003124,MP00003124,2023-02-21,00:20:44,PL007,SIC0057643,x@x.com,9999123456,9999123451,9999123452,,1
MP00003125,MP00003125,2023-02-21,00:20:44,PL007,SIC0021554,x@x.com,9999123456,9999123451,9999123452,NOTIENE,1
MP00003126,MP00003126,2023-02-21,00:20:44,PL007,SIC0051652,x@x.com,9999123456,9999123451,9999123452,,1
MP00003127,MP00003127,2023-02-21,00:20:44,PL007,SIC0034925,x@x.com,9999123456,9999123451,9999123452,,1
MP00003128,MP00003128,2023-02-21,00:20:44,PL007,SIC0001911,x@x.com,9999123456,9999123451,9999123452,,1
MP00003129,MP00003129,2023-02-21,00:20:44,PL007,SIC0066233,x@x.com,9999123456,9999123451,9999123452,,1
MP00003130,MP00003130,2023-02-21,00:20:44,PL007,SIC0032532,x@x.com,9999123456,9999123451,9999123452,,1
MP00003131,MP00003131,2023-02-21,00:20:44,PL007,SIC0040284,x@x.com,9999123456,9999123451,9999123452,,1
MP00003132,MP00003132,2023-02-21,00:20:44,PL007,SIC0064370,x@x.com,9999123456,9999123451,9999123452,,1
MP00003133,MP00003133,2023-02-21,00:20:44,PL007,SIC0117219,x@x.com,9999123456,9999123451,9999123452,,1
MP00003134,MP00003134,2023-02-21,00:20:44,PL007,SIC0003356,x@x.com,9999123456,9999123451,9999123452,,1
MP00003135,MP00003135,2023-02-21,00:20:44,PL007,SIC0050619,x@x.com,9999123456,9999123451,9999123452,,1
MP00003136,MP00003136,2023-02-21,00:20:44,PL007,SIC0115676,x@x.com,9999123456,9999123451,9999123452,,1
MP00003137,MP00003137,2019-08-25,00:20:44,PL007,SIC0000876,x@x.com,9999123456,9999123451,9999123452,,1
MP00003138,MP00003138,2023-02-21,00:20:44,PL007,SIC0105381,x@x.com,9999123456,9999123451,9999123452,,1
MP00003139,MP00003139,2023-02-21,00:20:44,PL007,SIC0073563,x@x.com,9999123456,9999123451,9999123452,,1
MP00003140,MP00003140,2019-03-26,00:20:44,PL007,SIC0109073,x@x.com,9999123456,9999123451,9999123452,,1
MP00003141,MP00003141,2023-02-21,00:20:44,PL007,SIC0106989,x@x.com,9999123456,9999123451,9999123452,,1
MP00003142,MP00003142,2023-02-21,00:20:44,PL007,SIC0086641,x@x.com,9999123456,9999123451,9999123452,,1
MP00003143,MP00003143,2023-02-21,00:20:44,PL007,SIC0055030,x@x.com,9999123456,9999123451,9999123452,,1
MP00003144,MP00003144,2014-07-25,00:20:44,PL007,SIC0045719,x@x.com,9999123456,9999123451,9999123452,,1
MP00003145,MP00003145,2023-02-21,00:20:44,PL007,SIC0026606,x@x.com,9999123456,9999123451,9999123452,,1
