AlfaNumerico,AlfaNumerico,Fecha,Hora,AlfaNumerico,AlfaNumerico,Correo Electrónico,Telefóno,Telefóno,Telefóno,AlfaNumerico,Estatus
Clave,Folio,Fecha,Hora,Clave Partido Legado,Clave Ciudadano,Correo Electrónico,Whatsapp,Teléfono,Celular,Observaciones,Estatus
MP00004623,MP00004623,2023-02-21,00:20:44,PL007,SIC0065494,x@x.com,9999123456,9999123451,9999123452,,1
MP00004624,MP00004624,2019-10-22,00:20:44,PL007,SIC0017837,x@x.com,9999123456,9999123451,9999123452,,1
MP00004625,MP00004625,2023-02-21,00:20:44,PL007,SIC0033030,x@x.com,9999123456,9999123451,9999123452,,1
MP00004626,MP00004626,2023-02-21,00:20:44,PL007,SIC0060114,x@x.com,9999123456,9999123451,9999123452,,1
MP00004627,MP00004627,2023-02-21,00:20:44,PL007,SIC0102336,x@x.com,9999123456,9999123451,9999123452,,1
MP00004628,MP00004628,2023-02-21,00:20:44,PL007,SIC0090060,x@x.com,9999123456,9999123451,9999123452,NOTIENE,1
MP00004629,MP00004629,2019-08-16,00:20:44,PL007,SIC0011179,x@x.com,9999123456,9999123451,9999123452,,1
MP00004630,MP00004630,2019-03-26,00:20:44,PL007,SIC0024718,x@x.com,9999123456,9999123451,9999123452,,1
MP00004631,MP00004631,2023-02-21,00:20:44,PL007,SIC0028412,x@x.com,9999123456,9999123451,9999123452,,1
MP00004632,MP00004632,2023-02-21,00:20:44,PL007,SIC0111745,x@x.com,9999123456,9999123451,9999123452,NOTIENE,1
MP00004633,MP00004633,2023-02-21,00:20:44,PL007,SIC0082293,x@x.com,9999123456,9999123451,9999123452,,1
MP00004634,MP00004634,2023-02-21,00:20:44,PL007,SIC0085203,x@x.com,9999123456,9999123451,9999123452,,1
MP00004635,MP00004635,2023-02-21,00:20:44,PL007,SIC0021294,x@x.com,9999123456,9999123451,9999123452,NOTIENE,1
MP00004636,MP00004636,2023-02-21,00:20:44,PL007,SIC0075938,x@x.com,9999123456,9999123451,9999123452,,1
MP00004637,MP00004637,2023-02-21,00:20:44,PL007,SIC0011909,x@x.com,9999123456,9999123451,9999123452,NOTIENE,1
MP00004638,MP00004638,2023-02-21,00:20:44,PL007,SIC0037608,x@x.com,9999123456,9999123451,9999123452,,1
MP00004639,MP00004639,2023-02-21,00:20:44,PL007,SIC0094748,x@x.com,9999123456,9999123451,9999123452,,1
MP00004640,MP00004640,2023-02-21,00:20:44,PL007,SIC0112724,x@x.com,9999123456,9999123451,9999123452,NOTIENE,1
MP00004641,MP00004641,2023-02-21,00:20:44,PL007,SIC0084583,x@x.com,9999123456,9999123451,9999123452,,1
MP00004642,MP00004642,2023-02-21,00:20:44,PL007,SIC0047931,x@x.com,9999123456,9999123451,9999123452,,1
MP00004643,MP00004643,2023-02-21,00:20:44,PL007,SIC0026509,x@x.com,9999123456,9999123451,9999123452,,1
MP00004644,MP00004644,2023-02-21,00:20:44,PL007,SIC0076878,x@x.com,9999123456,9999123451,9999123452,,1
MP00004645,MP00004645,2023-02-21,00:20:44,PL007,SIC0045491,x@x.com,9999123456,9999123451,9999123452,,1
MP00004646,MP00004646,2014-11-23,00:20:44,PL007,SIC0089539,x@x.com,9999123456,9999123451,9999123452,SITIENE,1
MP00004647,MP00004647,2023-02-21,00:20:44,PL007,SIC0008230,x@x.com,9999123456,9999123451,9999123452,,1
MP00004648,MP00004648,2023-02-21,00:20:44,PL007,SIC0102520,x@x.com,9999123456,9999123451,9999123452,,1
