AlfaNumerico,AlfaNumerico,Fecha,Hora,AlfaNumerico,AlfaNumerico,Correo Electrónico,Telefóno,Telefóno,Telefóno,AlfaNumerico,Estatus
Clave,Folio,Fecha,Hora,Clave Partido Legado,Clave Ciudadano,Correo Electrónico,Whatsapp,Teléfono,Celular,Observaciones,Estatus
MP00001532,MP00001532,2023-02-21,00:20:44,PL007,SIC0020894,x@x.com,9999123456,9999123451,9999123452,NOTIENE,1
MP00001533,MP00001533,2023-02-21,00:20:44,PL007,SIC0119676,x@x.com,9999123456,9999123451,9999123452,,1
MP00001534,MP00001534,2023-02-21,00:20:44,PL007,SIC0065579,x@x.com,9999123456,9999123451,9999123452,,1
MP00001535,MP00001535,2023-02-21,00:20:44,PL007,SIC0030397,x@x.com,9999123456,9999123451,9999123452,,1
MP00001537,MP00001537,2023-02-21,00:20:44,PL007,SIC0010616,x@x.com,9999123456,9999123451,9999123452,,1
MP00001538,MP00001538,2023-02-21,00:20:44,PL007,SIC0035904,x@x.com,9999123456,9999123451,9999123452,,1
MP00001539,MP00001539,2023-02-21,00:20:44,PL007,SIC0076703,x@x.com,9999123456,9999123451,9999123452,,1
MP00001540,MP00001540,2023-02-21,00:20:44,PL007,SIC0081608,x@x.com,9999123456,9999123451,9999123452,,1
MP00001541,MP00001541,2023-02-21,00:20:44,PL007,SIC0007542,x@x.com,9999123456,9999123451,9999123452,,1
MP00001542,MP00001542,2016-10-03,00:20:44,PL007,SIC0026428,x@x.com,9999123456,9999123451,9999123452,,1
MP00001543,MP00001543,2023-02-21,00:20:44,PL007,SIC0026216,x@x.com,9999123456,9999123451,9999123452,,1
MP00001544,MP00001544,2023-02-21,00:20:44,PL007,SIC0070177,x@x.com,9999123456,9999123451,9999123452,,1
MP00001545,MP00001545,2023-02-21,00:20:44,PL007,SIC0107359,x@x.com,9999123456,9999123451,9999123452,,1
MP00001546,MP00001546,2023-02-21,00:20:44,PL007,SIC0119440,x@x.com,9999123456,9999123451,9999123452,,1
MP00001547,MP00001547,2023-02-21,00:20:44,PL007,SIC0082374,x@x.com,9999123456,9999123451,9999123452,,1
MP00001548,MP00001548,2023-02-21,00:20:44,PL007,SIC0013791,x@x.com,9999123456,9999123451,9999123452,,1
MP00001549,MP00001549,2023-02-21,00:20:44,PL007,SIC0018812,x@x.com,9999123456,9999123451,9999123452,NOTIENE,1
MP00001550,MP00001550,2023-02-21,00:20:44,PL007,SIC0111386,x@x.com,9999123456,9999123451,9999123452,,1
MP00001551,MP00001551,2023-03-17,00:20:44,PL007,SIC0109947,x@x.com,9999123456,9999123451,9999123452,,1
MP00001552,MP00001552,2023-02-21,00:20:44,PL007,SIC0075181,x@x.com,9999123456,9999123451,9999123452,,1
MP00001553,MP00001553,2023-02-21,00:20:44,PL007,SIC0033747,x@x.com,9999123456,9999123451,9999123452,,1
MP00001555,MP00001555,2023-02-21,00:20:44,PL007,SIC0020188,x@x.com,9999123456,9999123451,9999123452,NOTIENE,1
MP00001556,MP00001556,2023-02-21,00:20:44,PL007,SIC0077814,x@x.com,9999123456,9999123451,9999123452,,1
MP00001557,MP00001557,2023-02-21,00:20:44,PL007,SIC0013189,x@x.com,9999123456,9999123451,9999123452,,1
MP00001558,MP00001558,2023-02-21,00:20:44,PL007,SIC0075381,x@x.com,9999123456,9999123451,9999123452,,1
MP00001559,MP00001559,2023-02-21,00:20:44,PL007,SIC0069823,x@x.com,9999123456,9999123451,9999123452,,1
MP00001560,MP00001560,2023-02-21,00:20:44,PL007,SIC0016130,x@x.com,9999123456,9999123451,9999123452,,1
MP00001561,MP00001561,2023-02-21,00:20:44,PL007,SIC0089740,x@x.com,9999123456,9999123451,9999123452,NOTIENE,1
MP00001562,MP00001562,2023-02-21,00:20:44,PL007,SIC0032847,x@x.com,9999123456,9999123451,9999123452,,1
MP00001563,MP00001563,2023-02-21,00:20:44,PL007,SIC0014596,x@x.com,9999123456,9999123451,9999123452,,1
MP00001564,MP00001564,2023-02-21,00:20:44,PL007,SIC0092827,x@x.com,9999123456,9999123451,9999123452,,1
MP00001565,MP00001565,2023-02-21,00:20:44,PL007,SIC0110508,x@x.com,9999123456,9999123451,9999123452,,1
MP00001566,MP00001566,2023-02-21,00:20:44,PL007,SIC0044552,x@x.com,9999123456,9999123451,9999123452,,1
MP00001567,MP00001567,2023-02-21,00:20:44,PL007,SIC0088502,x@x.com,9999123456,9999123451,9999123452,NOTIENE,1
MP00001568,MP00001568,2023-02-21,00:20:44,PL007,SIC0090871,x@x.com,9999123456,9999123451,9999123452,,1
MP00001569,MP00001569,2023-02-21,00:20:44,PL007,SIC0056290,x@x.com,9999123456,9999123451,9999123452,,1
MP00001570,MP00001570,2023-02-21,00:20:44,PL007,SIC0039032,x@x.com,9999123456,9999123451,9999123452,,1
MP00001571,MP00001571,2014-11-28,00:20:44,PL007,SIC0100077,x@x.com,9999123456,9999123451,9999123452,,1
MP00001572,MP00001572,2023-02-21,00:20:44,PL007,SIC0099287,x@x.com,9999123456,9999123451,9999123452,,1
MP00001573,MP00001573,2023-02-21,00:20:44,PL007,SIC0103717,x@x.com,9999123456,9999123451,9999123452,NOTIENE,1
MP00001574,MP00001574,2023-02-21,00:20:44,PL007,SIC0063698,x@x.com,9999123456,9999123451,9999123452,,1
MP00001575,MP00001575,2023-02-21,00:20:44,PL007,SIC0017178,x@x.com,9999123456,9999123451,9999123452,,1
MP00001577,MP00001577,2023-02-21,00:20:44,PL007,SIC0001767,x@x.com,9999123456,9999123451,9999123452,,1
MP00001578,MP00001578,2023-02-21,00:20:44,PL007,SIC0097824,x@x.com,9999123456,9999123451,9999123452,,1
MP00001579,MP00001579,2023-02-21,00:20:44,PL007,SIC0108780,x@x.com,9999123456,9999123451,9999123452,,1
MP00001580,MP00001580,2023-02-21,00:20:44,PL007,SIC0047473,x@x.com,9999123456,9999123451,9999123452,,1
MP00001581,MP00001581,2023-02-21,00:20:44,PL007,SIC0037187,x@x.com,9999123456,9999123451,9999123452,,1
MP00001582,MP00001582,2023-02-21,00:20:44,PL007,SIC0069773,x@x.com,9999123456,9999123451,9999123452,,1
MP00001583,MP00001583,2023-02-21,00:20:44,PL007,SIC0094103,x@x.com,9999123456,9999123451,9999123452,,1
MP00001584,MP00001584,2023-02-21,00:20:44,PL007,SIC0112709,x@x.com,9999123456,9999123451,9999123452,NOTIENE,1
MP00001585,MP00001585,2023-02-21,00:20:44,PL007,SIC0094159,x@x.com,9999123456,9999123451,9999123452,,1
MP00001586,MP00001586,2023-02-21,00:20:44,PL007,SIC0089537,x@x.com,9999123456,9999123451,9999123452,NOTIENE,1
MP00001587,MP00001587,2023-02-21,00:20:44,PL007,SIC0018303,x@x.com,9999123456,9999123451,9999123452,,1
MP00001588,MP00001588,2023-02-21,00:20:44,PL007,SIC0077399,x@x.com,9999123456,9999123451,9999123452,,1
MP00001589,MP00001589,2023-02-21,00:20:44,PL007,SIC0049022,x@x.com,9999123456,9999123451,9999123452,,1
MP00001590,MP00001590,2022-10-03,00:20:44,PL007,SIC0015099,x@x.com,9999123456,9999123451,9999123452,,1
MP00001591,MP00001591,2023-02-21,00:20:44,PL007,SIC0060584,x@x.com,9999123456,9999123451,9999123452,,1
MP00001592,MP00001592,2023-02-21,00:20:44,PL007,SIC0088914,x@x.com,9999123456,9999123451,9999123452,NOTIENE,1
MP00001593,MP00001593,2023-02-21,00:20:44,PL007,SIC0002405,x@x.com,9999123456,9999123451,9999123452,,1
MP00001594,MP00001594,2023-02-21,00:20:44,PL007,SIC0012280,x@x.com,9999123456,9999123451,9999123452,,1
MP00001595,MP00001595,2023-02-21,00:20:44,PL007,SIC0101541,x@x.com,9999123456,9999123451,9999123452,,1
MP00001596,MP00001596,2023-02-21,00:20:44,PL007,SIC0028268,x@x.com,9999123456,9999123451,9999123452,,1
MP00001597,MP00001597,2023-02-21,00:20:44,PL007,SIC0096085,x@x.com,9999123456,9999123451,9999123452,,1
MP00001598,MP00001598,2023-02-21,00:20:44,PL007,SIC0112015,x@x.com,9999123456,9999123451,9999123452,NOTIENE,1
MP00001599,MP00001599,2023-02-21,00:20:44,PL007,SIC0094114,x@x.com,9999123456,9999123451,9999123452,,1
MP00001600,MP00001600,2013-12-02,00:20:44,PL007,SIC0114473,x@x.com,9999123456,9999123451,9999123452,SITIENE,1
MP00001601,MP00001601,2023-02-21,00:20:44,PL007,SIC0055199,x@x.com,9999123456,9999123451,9999123452,,1
MP00001602,MP00001602,2023-02-21,00:20:44,PL007,SIC0066062,x@x.com,9999123456,9999123451,9999123452,,1
MP00001603,MP00001603,2023-02-21,00:20:44,PL007,SIC0043058,x@x.com,9999123456,9999123451,9999123452,,1
MP00001604,MP00001604,2023-02-21,00:20:44,PL007,SIC0003425,x@x.com,9999123456,9999123451,9999123452,,1
MP00001605,MP00001605,2023-02-21,00:20:44,PL007,SIC0025900,x@x.com,9999123456,9999123451,9999123452,,1
MP00001606,MP00001606,2023-02-21,00:20:44,PL007,SIC0089503,x@x.com,9999123456,9999123451,9999123452,NOTIENE,1
