clave,folio,fecha,hora,clave_partido_legado,clave_ciudadano,correo_electronico,whatsapp,telefono,celular,obseravaciones,status
clave,folio,fecha,hora,clave_partido_legado,clave_ciudadano,correo_electronico,whatsapp,telefono,celular,obseravaciones,status
MP00005995,MP00005995,2023-09-07,13:58:27,PL004,MIL0047471,x@x.com,9999123456,9999123451,9999123452,1,1
MP00005996,MP00005996,2023-09-07,13:58:27,PL002,MIL0358579,x@x.com,9999123456,9999123451,9999123452,1,1
MP00005997,MP00005997,2023-09-07,13:58:27,PL007,MIL0553256,x@x.com,9999123456,9999123451,9999123452,1,1
MP00005998,MP00005998,2023-09-07,13:58:27,PL011,MIL0227104,x@x.com,9999123456,9999123451,9999123452,1,1
MP00005999,MP00005999,2023-09-07,13:58:27,PL011,MIL0438414,x@x.com,9999123456,9999123451,9999123452,1,1
MP00006000,MP00006000,2023-09-07,13:58:27,PL010,MIL0378239,x@x.com,9999123456,9999123451,9999123452,1,1
MP00006001,MP00006001,2023-09-07,13:58:27,PL012,MIL0257438,x@x.com,9999123456,9999123451,9999123452,1,1
MP00006002,MP00006002,2023-09-07,13:58:27,PL009,MIL0287583,x@x.com,9999123456,9999123451,9999123452,1,1
MP00006003,MP00006003,2023-09-07,13:58:27,PL003,MIL0280484,x@x.com,9999123456,9999123451,9999123452,1,1
MP00006004,MP00006004,2023-09-07,13:58:27,PL003,MIL0406023,x@x.com,9999123456,9999123451,9999123452,1,1
MP00006005,MP00006005,2023-09-07,13:58:27,PL007,MIL0226308,x@x.com,9999123456,9999123451,9999123452,1,1
MP00006006,MP00006006,2023-09-07,13:58:27,PL008,MIL0114141,x@x.com,9999123456,9999123451,9999123452,1,1
MP00006007,MP00006007,2023-09-07,13:58:27,PL012,MIL0230436,x@x.com,9999123456,9999123451,9999123452,1,1
MP00006008,MP00006008,2023-09-07,13:58:27,PL001,MIL0004659,x@x.com,9999123456,9999123451,9999123452,1,1
MP00006009,MP00006009,2023-09-07,13:58:27,PL011,MIL0377402,x@x.com,9999123456,9999123451,9999123452,1,1
MP00006010,MP00006010,2023-09-07,13:58:27,PL009,MIL0352428,x@x.com,9999123456,9999123451,9999123452,1,1
MP00006011,MP00006011,2023-09-07,13:58:27,PL008,MIL0030933,x@x.com,9999123456,9999123451,9999123452,1,1
