clave,folio,fecha,hora,clave_partido_legado,clave_ciudadano,correo_electronico,whatsapp,telefono,celular,obseravaciones,status
clave,folio,fecha,hora,clave_partido_legado,clave_ciudadano,correo_electronico,whatsapp,telefono,celular,obseravaciones,status
MP00004996,MP00004996,2023-09-07,13:58:27,PL003,MIL0426740,x@x.com,9999123456,9999123451,9999123452,1,1
MP00004997,MP00004997,2023-09-07,13:58:27,PL010,MIL0084460,x@x.com,9999123456,9999123451,9999123452,1,1
MP00004998,MP00004998,2023-09-07,13:58:27,PL005,MIL0283339,x@x.com,9999123456,9999123451,9999123452,1,1
MP00004999,MP00004999,2023-09-07,13:58:27,PL007,MIL0193683,x@x.com,9999123456,9999123451,9999123452,1,1
MP00005000,MP00005000,2023-09-07,13:58:27,PL012,MIL0417280,x@x.com,9999123456,9999123451,9999123452,1,1
MP00005001,MP00005001,2023-09-07,13:58:27,PL009,MIL0327836,x@x.com,9999123456,9999123451,9999123452,1,1
MP00005002,MP00005002,2023-09-07,13:58:27,PL009,MIL0380031,x@x.com,9999123456,9999123451,9999123452,1,1
MP00005003,MP00005003,2023-09-07,13:58:27,PL013,MIL0576584,x@x.com,9999123456,9999123451,9999123452,1,1
MP00005004,MP00005004,2023-09-07,13:58:27,PL008,MIL0558811,x@x.com,9999123456,9999123451,9999123452,1,1
MP00005005,MP00005005,2023-09-07,13:58:27,PL011,MIL0280749,x@x.com,9999123456,9999123451,9999123452,1,1
MP00005006,MP00005006,2023-09-07,13:58:27,PL011,MIL0401276,x@x.com,9999123456,9999123451,9999123452,1,1
MP00005007,MP00005007,2023-09-07,13:58:27,PL007,MIL0459054,x@x.com,9999123456,9999123451,9999123452,1,1
MP00005008,MP00005008,2023-09-07,13:58:27,PL002,MIL0434744,x@x.com,9999123456,9999123451,9999123452,1,1
MP00005009,MP00005009,2023-09-07,13:58:27,PL006,MIL0469640,x@x.com,9999123456,9999123451,9999123452,1,1
MP00005010,MP00005010,2023-09-07,13:58:27,PL012,MIL0075578,x@x.com,9999123456,9999123451,9999123452,1,1
MP00005011,MP00005011,2023-09-07,13:58:27,PL013,MIL0535903,x@x.com,9999123456,9999123451,9999123452,1,1
MP00005012,MP00005012,2023-09-07,13:58:27,PL002,MIL0376746,x@x.com,9999123456,9999123451,9999123452,1,1
MP00005013,MP00005013,2023-09-07,13:58:27,PL008,MIL0538379,x@x.com,9999123456,9999123451,9999123452,1,1
MP00005014,MP00005014,2023-09-07,13:58:27,PL008,MIL0016481,x@x.com,9999123456,9999123451,9999123452,1,1
MP00005015,MP00005015,2023-09-07,13:58:27,PL005,MIL0227007,x@x.com,9999123456,9999123451,9999123452,1,1
MP00005016,MP00005016,2023-09-07,13:58:27,PL003,MIL0040991,x@x.com,9999123456,9999123451,9999123452,1,1
MP00005017,MP00005017,2023-09-07,13:58:27,PL007,MIL0571555,x@x.com,9999123456,9999123451,9999123452,1,1
MP00005018,MP00005018,2023-09-07,13:58:27,PL003,MIL0056773,x@x.com,9999123456,9999123451,9999123452,1,1
MP00005019,MP00005019,2023-09-07,13:58:27,PL008,MIL0154173,x@x.com,9999123456,9999123451,9999123452,1,1
MP00005020,MP00005020,2023-09-07,13:58:27,PL010,MIL0426890,x@x.com,9999123456,9999123451,9999123452,1,1
MP00005021,MP00005021,2023-09-07,13:58:27,PL010,MIL0197242,x@x.com,9999123456,9999123451,9999123452,1,1
MP00005022,MP00005022,2023-09-07,13:58:27,PL010,MIL0229345,x@x.com,9999123456,9999123451,9999123452,1,1
MP00005023,MP00005023,2023-09-07,13:58:27,PL001,MIL0152803,x@x.com,9999123456,9999123451,9999123452,1,1
MP00005024,MP00005024,2023-09-07,13:58:27,PL012,MIL0059181,x@x.com,9999123456,9999123451,9999123452,1,1
MP00005025,MP00005025,2023-09-07,13:58:27,PL003,MIL0515181,x@x.com,9999123456,9999123451,9999123452,1,1
MP00005026,MP00005026,2023-09-07,13:58:27,PL009,MIL0350588,x@x.com,9999123456,9999123451,9999123452,1,1
MP00005027,MP00005027,2023-09-07,13:58:27,PL013,MIL0129913,x@x.com,9999123456,9999123451,9999123452,1,1
MP00005028,MP00005028,2023-09-07,13:58:27,PL011,MIL0135155,x@x.com,9999123456,9999123451,9999123452,1,1
MP00005029,MP00005029,2023-09-07,13:58:27,PL013,MIL0120279,x@x.com,9999123456,9999123451,9999123452,1,1
MP00005030,MP00005030,2023-09-07,13:58:27,PL004,MIL0390435,x@x.com,9999123456,9999123451,9999123452,1,1
MP00005031,MP00005031,2023-09-07,13:58:27,PL012,MIL0451069,x@x.com,9999123456,9999123451,9999123452,1,1
MP00005032,MP00005032,2023-09-07,13:58:27,PL007,MIL0086802,x@x.com,9999123456,9999123451,9999123452,1,1
MP00005033,MP00005033,2023-09-07,13:58:27,PL008,MIL0494931,x@x.com,9999123456,9999123451,9999123452,1,1
MP00005034,MP00005034,2023-09-07,13:58:27,PL003,MIL0025319,x@x.com,9999123456,9999123451,9999123452,1,1
MP00005035,MP00005035,2023-09-07,13:58:27,PL005,MIL0362824,x@x.com,9999123456,9999123451,9999123452,1,1
MP00005036,MP00005036,2023-09-07,13:58:27,PL002,MIL0136072,x@x.com,9999123456,9999123451,9999123452,1,1
MP00005037,MP00005037,2023-09-07,13:58:27,PL001,MIL0122596,x@x.com,9999123456,9999123451,9999123452,1,1
MP00005038,MP00005038,2023-09-07,13:58:27,PL013,MIL0269475,x@x.com,9999123456,9999123451,9999123452,1,1
MP00005039,MP00005039,2023-09-07,13:58:27,PL002,MIL0021804,x@x.com,9999123456,9999123451,9999123452,1,1
MP00005040,MP00005040,2023-09-07,13:58:27,PL008,MIL0102444,x@x.com,9999123456,9999123451,9999123452,1,1
MP00005041,MP00005041,2023-09-07,13:58:27,PL006,MIL0362905,x@x.com,9999123456,9999123451,9999123452,1,1
MP00005042,MP00005042,2023-09-07,13:58:27,PL010,MIL0454105,x@x.com,9999123456,9999123451,9999123452,1,1
MP00005043,MP00005043,2023-09-07,13:58:27,PL009,MIL0563819,x@x.com,9999123456,9999123451,9999123452,1,1
MP00005044,MP00005044,2023-09-07,13:58:27,PL013,MIL0062948,x@x.com,9999123456,9999123451,9999123452,1,1
MP00005045,MP00005045,2023-09-07,13:58:27,PL013,MIL0307465,x@x.com,9999123456,9999123451,9999123452,1,1
MP00005046,MP00005046,2023-09-07,13:58:27,PL006,MIL0037953,x@x.com,9999123456,9999123451,9999123452,1,1
MP00005047,MP00005047,2023-09-07,13:58:27,PL004,MIL0100579,x@x.com,9999123456,9999123451,9999123452,1,1
MP00005048,MP00005048,2023-09-07,13:58:27,PL011,MIL0471533,x@x.com,9999123456,9999123451,9999123452,1,1
MP00005049,MP00005049,2023-09-07,13:58:27,PL006,MIL0282366,x@x.com,9999123456,9999123451,9999123452,1,1
MP00005050,MP00005050,2023-09-07,13:58:27,PL013,MIL0118677,x@x.com,9999123456,9999123451,9999123452,1,1
MP00005051,MP00005051,2023-09-07,13:58:27,PL011,MIL0341016,x@x.com,9999123456,9999123451,9999123452,1,1
MP00005052,MP00005052,2023-09-07,13:58:27,PL013,MIL0264384,x@x.com,9999123456,9999123451,9999123452,1,1
MP00005053,MP00005053,2023-09-07,13:58:27,PL004,MIL0052471,x@x.com,9999123456,9999123451,9999123452,1,1
MP00005054,MP00005054,2023-09-07,13:58:27,PL008,MIL0086794,x@x.com,9999123456,9999123451,9999123452,1,1
MP00005055,MP00005055,2023-09-07,13:58:27,PL008,MIL0067508,x@x.com,9999123456,9999123451,9999123452,1,1
MP00005056,MP00005056,2023-09-07,13:58:27,PL007,MIL0298185,x@x.com,9999123456,9999123451,9999123452,1,1
MP00005057,MP00005057,2023-09-07,13:58:27,PL005,MIL0094648,x@x.com,9999123456,9999123451,9999123452,1,1
MP00005058,MP00005058,2023-09-07,13:58:27,PL003,MIL0095549,x@x.com,9999123456,9999123451,9999123452,1,1
