clave,folio,fecha,hora,clave_partido_legado,clave_ciudadano,correo_electronico,whatsapp,telefono,celular,obseravaciones,status
clave,folio,fecha,hora,clave_partido_legado,clave_ciudadano,correo_electronico,whatsapp,telefono,celular,obseravaciones,status
MP00018982,MP00018982,2023-09-07,13:58:27,PL010,MIL0268216,x@x.com,9999123456,9999123451,9999123452,1,1
MP00018983,MP00018983,2023-09-07,13:58:27,PL009,MIL0215129,x@x.com,9999123456,9999123451,9999123452,1,1
MP00018984,MP00018984,2023-09-07,13:58:27,PL002,MIL0383301,x@x.com,9999123456,9999123451,9999123452,1,1
MP00018985,MP00018985,2023-09-07,13:58:27,PL009,MIL0097287,x@x.com,9999123456,9999123451,9999123452,1,1
MP00018986,MP00018986,2023-09-07,13:58:27,PL010,MIL0427858,x@x.com,9999123456,9999123451,9999123452,1,1
MP00018987,MP00018987,2023-09-07,13:58:27,PL007,MIL0494705,x@x.com,9999123456,9999123451,9999123452,1,1
MP00018988,MP00018988,2023-09-07,13:58:27,PL001,MIL0511368,x@x.com,9999123456,9999123451,9999123452,1,1
MP00018989,MP00018989,2023-09-07,13:58:27,PL010,MIL0114868,x@x.com,9999123456,9999123451,9999123452,1,1
MP00018990,MP00018990,2023-09-07,13:58:27,PL005,MIL0066470,x@x.com,9999123456,9999123451,9999123452,1,1
MP00018991,MP00018991,2023-09-07,13:58:27,PL005,MIL0103498,x@x.com,9999123456,9999123451,9999123452,1,1
MP00018992,MP00018992,2023-09-07,13:58:27,PL010,MIL0538075,x@x.com,9999123456,9999123451,9999123452,1,1
MP00018993,MP00018993,2023-09-07,13:58:27,PL010,MIL0167423,x@x.com,9999123456,9999123451,9999123452,1,1
MP00018994,MP00018994,2023-09-07,13:58:27,PL007,MIL0382710,x@x.com,9999123456,9999123451,9999123452,1,1
MP00018995,MP00018995,2023-09-07,13:58:27,PL013,MIL0317839,x@x.com,9999123456,9999123451,9999123452,1,1
MP00018996,MP00018996,2023-09-07,13:58:27,PL003,MIL0416998,x@x.com,9999123456,9999123451,9999123452,1,1
MP00018997,MP00018997,2023-09-07,13:58:27,PL004,MIL0529606,x@x.com,9999123456,9999123451,9999123452,1,1
