clave,folio,fecha,hora,clave_partido_legado,clave_ciudadano,correo_electronico,whatsapp,telefono,celular,obseravaciones,status
clave,folio,fecha,hora,clave_partido_legado,clave_ciudadano,correo_electronico,whatsapp,telefono,celular,obseravaciones,status
MP00006994,MP00006994,2023-09-07,13:58:27,PL003,MIL0082980,x@x.com,9999123456,9999123451,9999123452,1,1
MP00006995,MP00006995,2023-09-07,13:58:27,PL003,MIL0483300,x@x.com,9999123456,9999123451,9999123452,1,1
MP00006996,MP00006996,2023-09-07,13:58:27,PL002,MIL0447265,x@x.com,9999123456,9999123451,9999123452,1,1
MP00006997,MP00006997,2023-09-07,13:58:27,PL013,MIL0521962,x@x.com,9999123456,9999123451,9999123452,1,1
MP00006998,MP00006998,2023-09-07,13:58:27,PL013,MIL0429473,x@x.com,9999123456,9999123451,9999123452,1,1
MP00006999,MP00006999,2023-09-07,13:58:27,PL007,MIL0057891,x@x.com,9999123456,9999123451,9999123452,1,1
MP00007000,MP00007000,2023-09-07,13:58:27,PL008,MIL0064597,x@x.com,9999123456,9999123451,9999123452,1,1
MP00007001,MP00007001,2023-09-07,13:58:27,PL011,MIL0285239,x@x.com,9999123456,9999123451,9999123452,1,1
MP00007002,MP00007002,2023-09-07,13:58:27,PL006,MIL0198080,x@x.com,9999123456,9999123451,9999123452,1,1
MP00007003,MP00007003,2023-09-07,13:58:27,PL011,MIL0407194,x@x.com,9999123456,9999123451,9999123452,1,1
MP00007004,MP00007004,2023-09-07,13:58:27,PL004,MIL0383330,x@x.com,9999123456,9999123451,9999123452,1,1
MP00007005,MP00007005,2023-09-07,13:58:27,PL002,MIL0140910,x@x.com,9999123456,9999123451,9999123452,1,1
MP00007006,MP00007006,2023-09-07,13:58:27,PL013,MIL0532635,x@x.com,9999123456,9999123451,9999123452,1,1
MP00007007,MP00007007,2023-09-07,13:58:27,PL009,MIL0046877,x@x.com,9999123456,9999123451,9999123452,1,1
MP00007008,MP00007008,2023-09-07,13:58:27,PL007,MIL0250184,x@x.com,9999123456,9999123451,9999123452,1,1
MP00007009,MP00007009,2023-09-07,13:58:27,PL001,MIL0184231,x@x.com,9999123456,9999123451,9999123452,1,1
MP00007010,MP00007010,2023-09-07,13:58:27,PL009,MIL0137553,x@x.com,9999123456,9999123451,9999123452,1,1
MP00007011,MP00007011,2023-09-07,13:58:27,PL001,MIL0171947,x@x.com,9999123456,9999123451,9999123452,1,1
MP00007012,MP00007012,2023-09-07,13:58:27,PL008,MIL0341146,x@x.com,9999123456,9999123451,9999123452,1,1
MP00007013,MP00007013,2023-09-07,13:58:27,PL007,MIL0212047,x@x.com,9999123456,9999123451,9999123452,1,1
MP00007014,MP00007014,2023-09-07,13:58:27,PL011,MIL0021063,x@x.com,9999123456,9999123451,9999123452,1,1
MP00007015,MP00007015,2023-09-07,13:58:27,PL012,MIL0425855,x@x.com,9999123456,9999123451,9999123452,1,1
MP00007016,MP00007016,2023-09-07,13:58:27,PL005,MIL0470642,x@x.com,9999123456,9999123451,9999123452,1,1
MP00007017,MP00007017,2023-09-07,13:58:27,PL004,MIL0136567,x@x.com,9999123456,9999123451,9999123452,1,1
MP00007018,MP00007018,2023-09-07,13:58:27,PL010,MIL0431423,x@x.com,9999123456,9999123451,9999123452,1,1
