clave,folio,fecha,hora,clave_partido_legado,clave_ciudadano,correo_electronico,whatsapp,telefono,celular,obseravaciones,status
clave,folio,fecha,hora,clave_partido_legado,clave_ciudadano,correo_electronico,whatsapp,telefono,celular,obseravaciones,status
MP00020980,MP00020980,2023-09-07,13:58:27,PL008,MIL0021498,x@x.com,9999123456,9999123451,9999123452,1,1
MP00020981,MP00020981,2023-09-07,13:58:27,PL012,MIL0238771,x@x.com,9999123456,9999123451,9999123452,1,1
MP00020982,MP00020982,2023-09-07,13:58:27,PL011,MIL0397510,x@x.com,9999123456,9999123451,9999123452,1,1
MP00020983,MP00020983,2023-09-07,13:58:27,PL008,MIL0301881,x@x.com,9999123456,9999123451,9999123452,1,1
MP00020984,MP00020984,2023-09-07,13:58:27,PL004,MIL0079973,x@x.com,9999123456,9999123451,9999123452,1,1
MP00020985,MP00020985,2023-09-07,13:58:27,PL009,MIL0426436,x@x.com,9999123456,9999123451,9999123452,1,1
MP00020986,MP00020986,2023-09-07,13:58:27,PL009,MIL0288545,x@x.com,9999123456,9999123451,9999123452,1,1
MP00020987,MP00020987,2023-09-07,13:58:27,PL010,MIL0441823,x@x.com,9999123456,9999123451,9999123452,1,1
MP00020988,MP00020988,2023-09-07,13:58:27,PL006,MIL0289161,x@x.com,9999123456,9999123451,9999123452,1,1
MP00020989,MP00020989,2023-09-07,13:58:27,PL001,MIL0415190,x@x.com,9999123456,9999123451,9999123452,1,1
MP00020990,MP00020990,2023-09-07,13:58:27,PL007,MIL0455544,x@x.com,9999123456,9999123451,9999123452,1,1
MP00020991,MP00020991,2023-09-07,13:58:27,PL011,MIL0398724,x@x.com,9999123456,9999123451,9999123452,1,1
MP00020992,MP00020992,2023-09-07,13:58:27,PL010,MIL0012243,x@x.com,9999123456,9999123451,9999123452,1,1
MP00020993,MP00020993,2023-09-07,13:58:27,PL002,MIL0084734,x@x.com,9999123456,9999123451,9999123452,1,1
MP00020994,MP00020994,2023-09-07,13:58:27,PL007,MIL0202244,x@x.com,9999123456,9999123451,9999123452,1,1
MP00020995,MP00020995,2023-09-07,13:58:27,PL003,MIL0556802,x@x.com,9999123456,9999123451,9999123452,1,1
MP00020996,MP00020996,2023-09-07,13:58:27,PL011,MIL0423033,x@x.com,9999123456,9999123451,9999123452,1,1
MP00020997,MP00020997,2023-09-07,13:58:27,PL002,MIL0067244,x@x.com,9999123456,9999123451,9999123452,1,1
MP00020998,MP00020998,2023-09-07,13:58:27,PL012,MIL0111586,x@x.com,9999123456,9999123451,9999123452,1,1
MP00020999,MP00020999,2023-09-07,13:58:27,PL005,MIL0305779,x@x.com,9999123456,9999123451,9999123452,1,1
MP00021000,MP00021000,2023-09-07,13:58:27,PL006,MIL0375003,x@x.com,9999123456,9999123451,9999123452,1,1
MP00021001,MP00021001,2023-09-07,13:58:27,PL003,MIL0543389,x@x.com,9999123456,9999123451,9999123452,1,1
MP00021002,MP00021002,2023-09-07,13:58:27,PL002,MIL0335032,x@x.com,9999123456,9999123451,9999123452,1,1
MP00021003,MP00021003,2023-09-07,13:58:27,PL007,MIL0143490,x@x.com,9999123456,9999123451,9999123452,1,1
MP00021004,MP00021004,2023-09-07,13:58:27,PL004,MIL0051691,x@x.com,9999123456,9999123451,9999123452,1,1
MP00021005,MP00021005,2023-09-07,13:58:27,PL001,MIL0185724,x@x.com,9999123456,9999123451,9999123452,1,1
MP00021006,MP00021006,2023-09-07,13:58:27,PL004,MIL0381199,x@x.com,9999123456,9999123451,9999123452,1,1
MP00021007,MP00021007,2023-09-07,13:58:27,PL009,MIL0080384,x@x.com,9999123456,9999123451,9999123452,1,1
MP00021008,MP00021008,2023-09-07,13:58:27,PL011,MIL0277398,x@x.com,9999123456,9999123451,9999123452,1,1
MP00021009,MP00021009,2023-09-07,13:58:27,PL004,MIL0278654,x@x.com,9999123456,9999123451,9999123452,1,1
MP00021010,MP00021010,2023-09-07,13:58:27,PL003,MIL0201859,x@x.com,9999123456,9999123451,9999123452,1,1
MP00021011,MP00021011,2023-09-07,13:58:27,PL007,MIL0383754,x@x.com,9999123456,9999123451,9999123452,1,1
MP00021012,MP00021012,2023-09-07,13:58:27,PL013,MIL0462928,x@x.com,9999123456,9999123451,9999123452,1,1
MP00021013,MP00021013,2023-09-07,13:58:27,PL003,MIL0069349,x@x.com,9999123456,9999123451,9999123452,1,1
MP00021014,MP00021014,2023-09-07,13:58:27,PL006,MIL0383557,x@x.com,9999123456,9999123451,9999123452,1,1
MP00021015,MP00021015,2023-09-07,13:58:27,PL011,MIL0366667,x@x.com,9999123456,9999123451,9999123452,1,1
MP00021016,MP00021016,2023-09-07,13:58:27,PL003,MIL0386655,x@x.com,9999123456,9999123451,9999123452,1,1
MP00021017,MP00021017,2023-09-07,13:58:27,PL011,MIL0452103,x@x.com,9999123456,9999123451,9999123452,1,1
MP00021018,MP00021018,2023-09-07,13:58:27,PL011,MIL0219016,x@x.com,9999123456,9999123451,9999123452,1,1
MP00021019,MP00021019,2023-09-07,13:58:27,PL007,MIL0555956,x@x.com,9999123456,9999123451,9999123452,1,1
MP00021020,MP00021020,2023-09-07,13:58:27,PL006,MIL0381568,x@x.com,9999123456,9999123451,9999123452,1,1
MP00021021,MP00021021,2023-09-07,13:58:27,PL007,MIL0234307,x@x.com,9999123456,9999123451,9999123452,1,1
MP00021022,MP00021022,2023-09-07,13:58:27,PL002,MIL0304111,x@x.com,9999123456,9999123451,9999123452,1,1
