clave,folio,fecha,hora,clave_partido_legado,clave_ciudadano,correo_electronico,whatsapp,telefono,celular,obseravaciones,status
clave,folio,fecha,hora,clave_partido_legado,clave_ciudadano,correo_electronico,whatsapp,telefono,celular,obseravaciones,status
MP00007993,MP00007993,2023-09-07,13:58:27,PL013,MIL0229890,x@x.com,9999123456,9999123451,9999123452,1,1
MP00007994,MP00007994,2023-09-07,13:58:27,PL004,MIL0328886,x@x.com,9999123456,9999123451,9999123452,1,1
MP00007995,MP00007995,2023-09-07,13:58:27,PL008,MIL0201869,x@x.com,9999123456,9999123451,9999123452,1,1
MP00007996,MP00007996,2023-09-07,13:58:27,PL004,MIL0566669,x@x.com,9999123456,9999123451,9999123452,1,1
MP00007997,MP00007997,2023-09-07,13:58:27,PL006,MIL0009332,x@x.com,9999123456,9999123451,9999123452,1,1
MP00007998,MP00007998,2023-09-07,13:58:27,PL002,MIL0171975,x@x.com,9999123456,9999123451,9999123452,1,1
MP00007999,MP00007999,2023-09-07,13:58:27,PL004,MIL0362556,x@x.com,9999123456,9999123451,9999123452,1,1
MP00008000,MP00008000,2023-09-07,13:58:27,PL002,MIL0352492,x@x.com,9999123456,9999123451,9999123452,1,1
MP00008001,MP00008001,2023-09-07,13:58:27,PL010,MIL0234743,x@x.com,9999123456,9999123451,9999123452,1,1
MP00008002,MP00008002,2023-09-07,13:58:27,PL004,MIL0489914,x@x.com,9999123456,9999123451,9999123452,1,1
MP00008003,MP00008003,2023-09-07,13:58:27,PL010,MIL0262323,x@x.com,9999123456,9999123451,9999123452,1,1
MP00008004,MP00008004,2023-09-07,13:58:27,PL008,MIL0323286,x@x.com,9999123456,9999123451,9999123452,1,1
MP00008005,MP00008005,2023-09-07,13:58:27,PL011,MIL0185868,x@x.com,9999123456,9999123451,9999123452,1,1
MP00008006,MP00008006,2023-09-07,13:58:27,PL002,MIL0390108,x@x.com,9999123456,9999123451,9999123452,1,1
MP00008007,MP00008007,2023-09-07,13:58:27,PL008,MIL0434917,x@x.com,9999123456,9999123451,9999123452,1,1
MP00008008,MP00008008,2023-09-07,13:58:27,PL003,MIL0500900,x@x.com,9999123456,9999123451,9999123452,1,1
MP00008009,MP00008009,2023-09-07,13:58:27,PL013,MIL0195210,x@x.com,9999123456,9999123451,9999123452,1,1
MP00008010,MP00008010,2023-09-07,13:58:27,PL009,MIL0250810,x@x.com,9999123456,9999123451,9999123452,1,1
MP00008011,MP00008011,2023-09-07,13:58:27,PL011,MIL0455843,x@x.com,9999123456,9999123451,9999123452,1,1
MP00008012,MP00008012,2023-09-07,13:58:27,PL010,MIL0531327,x@x.com,9999123456,9999123451,9999123452,1,1
MP00008013,MP00008013,2023-09-07,13:58:27,PL008,MIL0534225,x@x.com,9999123456,9999123451,9999123452,1,1
MP00008014,MP00008014,2023-09-07,13:58:27,PL013,MIL0282152,x@x.com,9999123456,9999123451,9999123452,1,1
MP00008015,MP00008015,2023-09-07,13:58:27,PL008,MIL0019134,x@x.com,9999123456,9999123451,9999123452,1,1
